390	Intel Celeron 2961Y	512KB + 2M	12	1100	2/2	0
391	Intel Pentium 2129Y	512KB + 2M	10	1100	2/2	0
392	Qualcomm Snapdragon 801 MSM8974AA	2MB	0	2260	4/4	0
393	HiSilicon Kirin 925		0	1800	8/8	0
394	Qualcomm Snapdragon 800 MSM8974	2MB	0	2300	4/4	0
395	Samsung Exynos 5420 Octa	512KB	0	1800	8/8	0
396	HiSilicon Kirin 920		0	1700	8/8	0
397	HiSilicon Kirin 935		0	2200	8/8	0
398	Mediatek MT6795		0	2200	8/8	0
399	HiSilicon Kirin 930		0	2000	8/8	0
400	Intel Pentium 977	512KB + 2M	17	1400	2/2	1435
401	Intel Celeron 877	512KB + 2M	17	1400	2/2	0
402	Apple A7	1MB + 4MB	0	1300	2/2	0
403	Intel Atom Z3570	2MB	0	2000	4/4	0
404	Intel Pentium 967	512KB + 2M	17	1300	2/2	1319
405	Intel Celeron 867	512KB + 2M	17	1300	2/2	0
406	Intel Atom Z3560	2MB	0	1830	4/4	0
407	AMD E2-3000	1MB	15	1650	2/2	0
408	Intel Pentium 957	512KB + 2M	17	1200	2/2	0
409	AMD E1-7010	1MB	10	0	2/2	0
410	Samsung Exynos 5410 Octa	512KB	0	1600	8/8	0
411	Intel Atom Z3480	1MB	0	2133	2/2	0
412	Intel Atom x3-C3440		0	1400	4/4	0
413	Intel Celeron B730	256KB + 1.	35	1800	1/2	0
414	Samsung Exynos 5260 Hexa		0	1700	6/6	0
415	Intel Celeron 1019Y	512KB + 2M	10	1000	2/2	0
416	Mediatek MT8135		0	1700	4/4	0
417	AMD E1-2500	1MB	15	1400	2/2	1021
418	AMD E1 Micro-6200T	1MB	4	1000	2/2	0
419	AMD E1-6010	1MB	10	1350	2/2	927
420	Intel Atom Z3530	2MB	0	1330	4/4	0
421	Intel Celeron 847	512KB + 2M	17	1100	2/2	992
422	Intel Celeron 807	256KB + 1.	17	1500	1/2	0
423	Intel Celeron B720	 + 1.5MB	35	1700	1/1	0
424	Samsung Exynos 5250 Dual	1MB	0	1700	2/2	0
425	Qualcomm Snapdragon 615 MSM8939		0	1700	8/8	0
426	Qualcomm Snapdragon 425		0	1700	8/8	0
427	Mediatek MT8752		0	1700	8/8	0
428	Mediatek MT6752		0	2000	8/8	0
429	Intel Atom D2700	1MB	10	2130	2/4	1148
430	Mediatek MT6592	1MB	0	1700	8/8	0
431	AMD E2-2000	1MB	18	1750	2/2	0
432	Intel Celeron N2808	1MB	4	1580	2/2	0
433	Qualcomm Snapdragon 610 MSM8936		0	1700	4/4	0
434	Qualcomm Snapdragon 600 APQ8064T	2MB	0	1700	4/4	0
435	HiSilicon Kirin 910T		0	1800	4/4	0
436	MediaTek MT8161		0	1300	4/4	0
437	Intel Atom x3-C3230RK		0	1200	4/4	0
438	Qualcomm Snapdragon 415		0	1400	8/8	0
439	AMD E2-1800	1MB	18	1700	2/2	1082
440	AMD E-450	1MB	18	1650	2/2	1034
